,location,Zone / Region,Observer Affiliation,Activity,Cloud Cover,Temperature (F),New or Recent Snowfall (cm),Rain/Snow Line,Snow Available For Transport,Wind Loading,Weather Summary,Observation Date,Submission Date,Observer Name,Observer type,Observation Summary,SIGNS OF INSTABILITY,Instability Comments,Latitude,Longitude,Route,Location,Distribution,Sensitivity,Size
301,Mt Marsten,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",below freezing,3,Not Observed,Small Amounts,None,Clouds draped the mountains all day.  Winds were calm and temperatures were balmy (20's).,"Dec 26, 2023 (10:00) - Dec 26, 2023 (15:00)","Dec 26, 2023",guy zoellner,forecaster,"Besides whiteknuckling the luge course that is the spur road to the trailhead, we had a great visit to Mt. Marsten.

There exists 3-4 inches of unconsolidated snow atop a very thin (<1 cm.) melt freeze crust from 12/22.  This snow is well bonded to the crust and only moved on very steep terrain.  Even then it was only able to run 10-15 feet.  
What little surface hoar we did find on the surface was rimed and fairly beat up.  
Wind has not been a player at this location.  We found little in the way of drifting snow, dunes or windslabs.
The 12/7 crust was reactive in our stability tests at 7,300 ft.  We stumbled across a sweet spot of shallow snow, shaded aspect and steep terrain.  We felt numerous collapses which prompted us to dig and expose the weak layer.  The surface hoar/facet combo that plagued us in the  weeks prior was the culprit.  I assume this is one of the last vestiges and was an isolated bit of action.
Boot pen is 30 cm with the skiing being great.",Collapsing Observed (isolated),"We were skinning along the ridge by the lookout at 7,300 ft and felt several collapses.  Upon digging we found the weak layer to be the surface hoar/facet combo below the 12/7 crust.",48.402214,-114.13365,Up the snowmobile road to the Lookout.,,,,
302,Gibraltar Ridge,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Dec 26, 2023","Dec 26, 2023",,public,Spent the day in the clouds; about 1/2” of snow accumulated on the sled when we got back to it. Skies obscured; no to light winds where we were. Temps below freezing. Chose to travel on some steeper terrain and saw the sloughing mentioned elsewhere here. No propagation in anything we saw. No wind affect anywhere we traveled today.,None Reported,,48.402214,-114.13365,,,,,
303,East of WMR,Whitefish Range,,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",Not Observed,Not Observed,Not Observed,Small Amounts,None,,"Dec 25, 2023","Dec 25, 2023",,public,"Small weak layer sitting around 40cm deep.  Larger weak layer, crust, and  then fresh surface hoar on the surface that could lead to future instability.",None Reported,,48.402214,-114.13365,"Traversed across the ridge, dug a pit around 6400' on a low angle south facing aspect.",,,,
304,Jewel Basin,Swan Range,,Snowmobiling/Snowbiking,,,,,,,,"Dec 25, 2023","Dec 25, 2023",Emily Carino,public,"Kicked off some sizeable sluff on a previously non-skied slope, and some more sluff skiing it a 2nd time. No sluff on run 3. No sluff on previously skied slopes. No other signs of instability.",Avalanches Observed,,48.402214,-114.13365,,,,,
305,North forty,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,Clear (No clouds),teens,5-20,Not Observed,Small Amounts,Previous,"Clear skies in AM with cold temps (19* at car). Similar temps up high, though shadowed cirques felt cold. Some fog and clouds built around peaks through the day, then overcast mid-late afternoon. Calm to light winds.","Dec 24, 2023 (10:00 - 16:00)","Dec 24, 2023",blase reardon,forecaster,"It's not only not all bad, it's very good in places. Thanks, Santa.

The midweek warming and rain left a friable melt-freeze crust that's now buried by 5-20 cm of new low density snow from the end of the week.
The end of week snow is cohesionless and dry, with very little slab characteristics. 
The recent snow is already faceting and sidehilling/ skinning is difficult. 
We found very few signs of wind slabs, even at the top of chute that would normally collect drifted snow.

Day off ski.",Avalanches Observed  Avalanches Triggered,No cracking or collapsing observed.,48.402214,-114.13365,,NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
306,Jewel,Swan Range,,Skiing/Snowboarding,,,,,,,,"Dec 24, 2023","Dec 24, 2023",,public,"Santa delivered just what we were hoping for in the central Swan range. 20-30cm of right side up pow seemingly glued to a variety of crusts. Most hasty pits showed the underlying dense crusts breaking down a bit, i.e. saving us from a dust on crust feel. SE exposures, had firmer underlying crusts than E and NE slopes. No avalanches observed, but lots of sluffing in the top few cm’s. Very little wind effect visible and only the slightest fresh cornice development.",None Reported,,48.402214,-114.13365,,,,,
307,Skiumah Lake,Flathead Range & Glacier NP,Flathead Avalanche Center,Walking/Hiking,Clear (No clouds),Below freezing,Not Observed,500,Moderate Amounts,Light,,"Dec 24, 2023","Dec 24, 2023",Mark Dundas,forecaster,"I took a short Christmas Eve stroll to view old avalanche debris and assess access in the Middle Fork.

The December 5-6 Atmospheric River initiated a moderate-sized avalanche cycle on Mt Penrose. 
The lack of snow on the ground during the AR limited the size and extent of the debris.
Many avalanche paths visible from Skiumah Lake do not have enough snow to produce avalanches.
There are only 6-8 inches of snow on the ground at the lake.",None Reported,,48.402214,-114.13365,,,,,
308,Northern Whitefish Range,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Dec 23, 2023","Dec 23, 2023",David Kerner,public,"-One small naturally triggered soft slab avalanche observed-Height new snow: 4-8'' -Drifted snow under north facing ridge line >1' F hard (observed stiffening of snow on NE aspect and stayed out of it)-Clouds cleared out around13:00, winds from the west to northwest (upslope in the afternoon on north aspect above 7000')-We utilized several test slopes and triggered dry loose D1 entraining more snow and moving fast-We skied steep north facing terrain and minded our slough",Avalanches Observed,,48.402214,-114.13365,,,,,
309,Apgar Crest,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",30 to 32,8 cm,Not Observed,Moderate Amounts,None,"Calm winds all day, even along the ridgeline. Very light snowfall occurred until noon.","Dec 23, 2023 (8:30) - Dec 23, 2023 (3:30)","Dec 23, 2023",Sarah Williams,forecaster,"We went to the Apgar Range with low expectations today to check out snow totals at mid-elevation ridgelines.

New snow along the ridge (6400 feet) was a meager 3 inches. At the trailhead, we measured 2 inches of new snow.
Snow was moist at 6400 feet. When we made our few turns, the new snow easily sluffed on the supportable 2-inch pencil hard crust.
Winds were calm all day and we did not observe active wind transport in this area.
Skiing remains challenging with surface hazards and low snow coverage.",None Reported,No avalanches or instability were observed.,48.402214,-114.13365,,,,,
310,Jewel,Swan Range,,Skiing/Snowboarding,,,,,,,,"Dec 23, 2023","Dec 25, 2023",,public,"Went to see if the Swan had any more goods than the rest the region and were pleasantly surprised. It had snowed 6-8” overnight and came down hard throughout the day. The Snotel measured 36” when we walked past it and the cars had 3-4” of fresh by the end of the tour! We skied several lines at different aspects and elevations and found a variety of conditions. The crust seemed more noticeable at mid to lower elevations, mostly below 6500’. In these areas, sloughing was prevalent with loose dry snow on top of the crust. This was noted even while skinning but the new snow had not formed slabs and the crust would support a skiers weight. As you got higher and on more northerly aspects, the skiing was actual deep and good! There are definitely still sharks in the water, so ski carefully, but there is good skiing to be found if you hit the right spots!",None Reported,,48.402214,-114.13365,,,,,
311,"Mt. Brown, NW face gullies",Flathead Range & Glacier NP,Flathead Avalanche Center,Climbing,Obscured (Sky not visible due to fog or non-cloud layer),Not Observed,10,Not Observed,Small Amounts,None,"Party reported band of snow as they drive up Lake McDonald. Started snowing at the trailhead at low-moderate intensities (S1). Several bands of higher intensity snow as they approached climb, but only 1 intense enough to put up hoods (S2). Accumulations at low elevation amounted to 2-4"" over the course of the day. The party felt no wind, heard no wind above them, and could hear McDonald Creek during their climb.","Dec 23, 2023","Dec 26, 2023",blase reardon,forecaster,"A climber was caught and injured when he was overrun by a large natural avalanche on the northwest face of Mt. Brown. He and his partner self-evacuated. 

The accident occurred during a storm with moderate snowfall intensity and seemingly calm conditions. 
The party was exploring a climb known as the Right Gully, or, if completed to the summit, Mile of Smiles.
They were on the 1st pitch of technical climbing. The leader had set an anchor and belay on the climber's right side of the gully, below where it forks. The 2nd a was partway up the pitch on a relatively easy snow slope, also on the climber's right side of the gully.
The 2nd climber reported seeing a powder cloud blooming overhead. The debris ran below him in the gully. 
A second, much larger slide followed very quickly after. The 2nd climber took two steps to escape the debris but couldn't climb out of the gully. He crouched and anchored himself with his tools.
The debris from the slide washed over the 2nd climber for roughly a minute. It pushed him downhill and when he came tight against the rope, it folded him over, ribs against pelvis. He was able to get a hand above the debris.
When the debris stopped, the victim climbed to the belay where he and the leader - who was only hit by the powder cloud - rigged a rappel. 
Several more natural slides followed, all smaller and confined to the gully. 
After 2 rappels, the party was able to escape into lower angled trees to climber's right. 
An urgent care visit day after the accident revealed the victim had suffered injured ribs, possibly cracked.

The victim noted that the forecast for snow the previous night had concerned him. They left the trailhead before reading the day's avalanche forecast, which rated the danger as Low (Level 1 of 5) at all elevations and identified Wind Slabs as the primary avalanche problem (possible, D1-1.5).
On Dec. 23rd, wind sensors at the nearest weather stations (Sperry Glacier and Garden Wall) were rimed so no wind speed measurements are available for the hours leading up to the accident. On the night of Dec. 22-23, Garden Wall did record southerly winds averaging in the mid teens with gusts to 28. The Flattop Mountain snotel recorded 0.3 inches of SWE and 3 inches of new snow on Dec. 23, with winds veering from southeast to northwest about daybreak.
The party had an exploratory mindset, because the terrain was new and it was their first technical climb of the winter. They were aware of the potential overhead hazard and potential conseqences of the terrain they planned to explore. On their approach, they saw no spindrift and didn't hear winds above them. The new snow was cohesionless and accumulations did not seem significant. They were surprised by the abrupt onset of natural avalanching, as well as the amount of snow entrained by the slides and the distance the slides ran. Although they're still digesting the event, the victim noted ""I won't be getting into gullies during seemingly inconsequential storms anymore.""
The FAC forecast team is glad the party is relatively unscathed. Thanks for sharing the event so our community can learn.",Avalanches Observed  Avalanches Triggered,"Natural slides from overhead, not triggered.",48.402214,-114.13365,"From gate at McDonald Lodge up GTSR, then through woods to climber's right side of Right/ West Gully ice route.",,,,
312,Canyon Creek,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",Below freezing,0,4000,None,None,Thick valley floor clouds and fog with a continuous cloud deck around 7000 feet. Generally dry with no wind.,"Dec 22, 2023 (12:30) - Dec 22, 2023 (15:00)","Dec 22, 2023",Mark Dundas,forecaster,"Following an FAC morning meeting, we took a quick trip to the southern Whitefish Range.

The 12/20 rain and warm temperatures initiated a small mid-elevation wet loose avalanche cycle. We noted just two wet loose slides but a fair amount of rollerballs. Interestingly, most rollerballs started from tree bombs. Steep slopes without trees or exposed brush were generally clean, with no evidence of rollerball activity.
We jumped on steep (45-degree) mid-elevation slopes but had no luck triggering rollerballs or wet loose slides.
The surface snow was developing a crust above 6000 feet this afternoon due to cool temperatures.",None Reported,None observed,48.402214,-114.13365,,,,,
313,Canyon Creek Trail,Whitefish Range,,Snowmobiling/Snowbiking,,,,,,,,"Dec 21, 2023","Dec 21, 2023",,public,A lot of melt and run off. Areas of exposed rock.,None Reported,,48.402214,-114.13365,,,,,
314,Canyon Creek Trail,Whitefish Range,,Snowmobiling/Snowbiking,,,,,,,,"Dec 20, 2023","Dec 20, 2023",,public,"Very wet, heavy conditions. It basically rained all day with no new snow observed at lower elevations. Went to the second bridge in Kimmerly Basin and observed dirt on the trail. Did not go very high in elevation due to rock exposure.",None Reported,,48.402214,-114.13365,,,,,
315,East of WMR,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,Obscured (Sky not visible due to fog or non-cloud layer),32,3,6000,None,None,"Soggy. Light-Mod precip from mid morning to mid afternoon. Mostly mixed, though mixed means a few snowflakes tagging along with rain. Rain line about 6000 feet, though bounced up and down a few hundred feet. Light winds.","Dec 20, 2023 (10:00 - 14:00)","Dec 20, 2023",blase reardon,forecaster,"Spruce juice, tree pee, whatever you call it, we were in it today:

Light to moderate mixed precipation. The exact mix varied throughout our tour.  
The snow surface was wet on southerly slopes and moist on shaded aspects.
Natural and human triggered rollerballs were running below 6000'.
We found the 12/7 crust down 12-18 inches and of variable hardness (see snowpack).
Large and small column test yeilded stable results in our test pits. 

The travel was generally sticky but still  enjoyable for a soaker day.",None Reported,"Natural and triggered rollerballs, mostly below 6000 feet.",48.402214,-114.13365,5800' - 6600'  on aspects S through E to NW.,NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
316,Rescue Creek,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Dec 20, 2023","Dec 21, 2023",,public,"Rain from 3400' to 6500', sleet at 6500-7000'. Wet snow falling at 7000-7800'. Stable snowpack at upper elevations, but wet slides running on steep slopes below 6500'. Early season hazards abound.",Avalanches Observed  Avalanches Triggered,,48.402214,-114.13365,,,,,
317,Desert Mountain,Flathead Range & Glacier NP,,Snowmobiling/Snowbiking,,,,,,,,"Dec 19, 2023","Dec 19, 2023",,public,"There was some new snow at higher elevation, but mostly rain below. Coverage was very light and snow was wet and heavy.  Weather was on the warmer side, and rainy.",None Reported,,48.402214,-114.13365,,,,,
318,Blaine Mtn,Swan Range,Flathead Avalanche Center,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",below freezing,0,"6,000",Small Amounts,None,"Tuesday (today) was a relatively nice day, however, the clouds dropped and it started to precipitate around 1:00.  Rain was happening at around 6,000 ft when we were leaving.","Dec 19, 2023 (9:00) - Dec 19, 2023 (3:00)","Dec 19, 2023",guy zoellner,forecaster,"Despite low snow, young spruce trees and snowberry brush we made the pull up the hill to Jenny Lake on the back of the Swan Crest today.

We dug several pits above 7,000 ft. and did find the buried surface hoar.  It was unreactive in our stability tests, and we saw no evidence of avalanches today.
Skiing was good with old, settled powder.  Height of snow was roughly 100 cm deep.
The weather came in around 1:00 pm.  The rain line was 5,500 ft.
The snow surface (as of our leaving) above 6,000 ft. was moist.  
We saw rollerball activity starting around 6,000 ft.
Just below the ridgline at 7,400 ft. we found small isolated windslabs that were 6-8 inches thick.",None Reported,"We found a couple small, isolated and unreactive windslabs.",48.402214,-114.13365,"Sleds up the Doris road, through the brush and skin up Blaine Mtn.",,,,
319,Werner Peak,Whitefish Range,,Snowmobiling/Snowbiking,,,,,,,,"Dec 19, 2023","Dec 20, 2023",,public,"Light snow falling above 6400 ft. Sleet and rain below that. 6800-6400 ft held great dense powder on east and north aspects. We tried hard to sled cut steep mini features but saw no signs of instability. Great riding at those upper elevations. I’m guessing the warm air overnight may negatively affect snow quality, even up high.",None Reported,,48.402214,-114.13365,,,,,
320,Canyon Creek,Whitefish Range,Swan Mountain Snowmobiling,Snowmobiling/Snowbiking,,,,,,,,"Dec 18, 2023","Dec 18, 2023",,professional,No new snow at lower  elevation . Snow coverage was sparse. Observed several large rollers.,None Reported,,48.402214,-114.13365,,,,,
321,Crystal,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Dec 18, 2023","Dec 18, 2023",,public,"Against my better judgement I took the layup into the den of alder. Dug one pit on NE aspect at 6600’, depth of 105 cm, thick crust 55 cm down, another thinner crust 15 cm down. Did find the rain crust all the way up to my high point of 7100’. Some breakable wind board on open aspects with Easterly tilt. Saw some old point releases D1 on steep alpine faces otherwise nothing else visible.",None Reported,,48.402214,-114.13365,,,,,
322,Tunnel Ridge,Flathead Range & Glacier NP,Flathead Avalanche Center,Snowmobiling/Snowbiking,"Scattered (Partly Cloudy, 3/8 to 4/8 covered)",Below Freezing,0,Not Observed,None,Light,Mix of sun and clouds. Moderate to strong winds at upper ridgelines. No observed wind transport.,"Dec 18, 2023 (9:00) - Dec 18, 2023 (17:00)","Dec 18, 2023",Cam Johnson,forecaster,"Went up to the Tunnel Ridge weather station to do a wellfare check. 

We observed no signs of instability and no recent avalanches.
We observed two notable debris piles that likely failed during the early December Atmospheric River. See avalanche tab for more information.
Moderate to strong winds at ridgetop. No snow transport observed.
The 12/7 crust was thick and supportable with no observed weak layers in a snowpit at 6400 feet. 
Surface snow is faceting on norths. Sun crust exists on souths.",None Reported,No signs of instability.,48.402214,-114.13365,,,,,
323,Stahl peak,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",below freezing,0,na,Small Amounts,None,"Stratus sandwich.  Cold (20's) below 6,000 ft.  Above that it was warmer, still below freezing though.","Dec 18, 2023 (10:30) - Dec 18, 2023 (3:30)","Dec 18, 2023",guy zoellner,forecaster,"This days objective was to get into the Northern Whtiefish Range and get an eye on the distribution of the buried weak layer, surface snow condition and total depth of snow.

We found the 12/7 crust to be widely distrubted and robust (3-4 inches thick) on all aspects and up to our high point of 7200 ft.  It was generally underneath 40 cm of dense faceting snow.  We did notice it to be slightly thinner below 6,000 ft.  
We did not find any buried surface hoar.
The inversion has affected the surface snow above 6,500 ft.  There is a weak, breakable crust on SW-S aspects.  While being of notice on the way up, it was of no concern during our descent.  North, shaded, aspects are recycled powder without a crust.
The snowpack is generally stable and right side up.  Total depth was 100-130 cm above 6,000 ft.",None Reported,Things were very stable in our travels today.,48.402214,-114.13365,Snowmobiled to the end of the groomed road and skinned from there.,,,,
324,WMR SIDECOUNTRY,Whitefish Range,,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)",28,Not Observed,Not Observed,Not Observed,Not Observed,,"Dec 17, 2023","Dec 17, 2023",,public,"Skiing on the slope felt stable, upper shaded slopes were lighter snow. As we got into more sun-affected areas, a thin crust appeared on the surface. No cracks/collapsing observed. Snowpack is very thin, with brush and downed trees still a hazard to look out for.",None Reported,,48.402214,-114.13365,Skied down into Canyon Creek. East /Northeast aspects. The elevation of the pit was 6470 ft.,,,,
325,"Nyack Mountain, Crystal Creek",Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Dec 17, 2023","Dec 17, 2023",David Boye,public,"Wind slab, cornice formations above steeper E, SE facing aspects that drain into Crystal Creek We ski cut above a very steep 35-40° line/chute we were considering skiing that drains into Crystal Creek at the top, no results, but opted to ski more conservative, anchored terrain due to uncertainty of snow coverage on the steeper, full commitment part of the chute (worried it could be very shallow and unpredictable in the steeper, rockiest part). We skied anchored, open treed (bush) terrain,  into Crystal and Cascadilla Creeks, no signs of instability between 5-7000 feet.Non solar affected snow up high skis great!Solar impacted slopes are developing surface hoar and a crust layer that currently is fairly easily breakable at 6500-7000'2-4"" of snow at highway.. 30+"" of snow up high. N facing holding significantly more than S facing as you climb. 6000' is an average elevation to be above for good skiing right now.",None Reported,,48.402214,-114.13365,,,,,
326,Elk Mountain,Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",Below freezing,0,3500,Small Amounts,Light,"Overcast conditions until early afternoon when the clouds cleared, and it became primarily sunny. Moderate winds at ridgelines elevations but little to no blowing snow. We had good views of nearby prominent peaks and did not observe transport off their summits.","Dec 17, 2023 (8:30) - Dec 17, 2023 (4:00)","Dec 17, 2023",Mark Dundas,forecaster,"We traveled to the eastern edge of the advisory area for the first time this season to gather snowpack data.

We confirmed that the early December Atmospheric River soaked this location, leaving a thick, firm crust in the mid-pack.
Similar to other observations, the snowpack below 6000 feet is thin. 
The prevailing westerly winds have stripped exposed west-facing slopes of snow. 
Due to the lack of snowfall, the cornice line along the Elk Mountain bowl is quite small for this time of year. The cross-loaded cornice line in the Backstrap ski run is almost non-existent.
We had great views of many large avalanche paths but noticed no avalanches or notable debris piles.",None Reported,None observed,48.402214,-114.13365,,,,,
327,Stryker Basin,Whitefish Range,,Snowmobiling/Snowbiking,,,,,,,,"Dec 17, 2023","Dec 17, 2023",,public,A pit was dug by our instructors  and this was our observation as a group. Column test results showed Sudden Collapse but no propagation in the moderate to hard range on the 12/01 buried Surface Hoar layer,Cracking Observed (isolated),,48.402214,-114.13365,"Went up past twin lakes and over the saddle then dropped into Stryker basin right around 6,400",,,,
328,Red Meadow,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Dec 17, 2023","Dec 17, 2023",Erich Peitzsch,public,"We observed no obvious signs of instability and no avalanches. We dug a put on a southwest aspect at 7300 ft. Snow depth was 110cm. Mostly unremarkable snow structure. Extended column test result: ECTX. However, one more tap (31) resulted in partial propagation on a layer of surface hoar 52 cm from the surface. This layer is difficult to find in a snow profile and the crystals are mostly flattened. We also found the early Dec. rain crust just above this layer at this elevation. Overall, great skiing above 5500 ft. in sheltered terrain.",None Reported,,48.402214,-114.13365,,,,,
329,Kimmerly Creek,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Dec 17, 2023","Dec 17, 2023",David Kerner,public,"Stable conditions for now. South aspects  are heavily sun affected. North aspect has dry snow with multiple crust combinations. Test pit dug in open scree/boulder field showed preserved surface hoar  5cm, 45 cm, and 55cm down. 2-3mm depth hoar on the ground.",Cracking Observed (specific),Cracking in wind drifted snow on north to east aspect - stubborn 4” slab under cornice <br>,48.402214,-114.13365,Skook Peak to Kimmerly Creek,,,,
330,Skiumah,Flathead Range & Glacier NP,,Walking/Hiking,,,,,,,,"Dec 17, 2023","Dec 18, 2023",,public,Quick evening run to the lake to see conditions. 8-10” of total snow at lake elevation. Alder guards access to the upper drainage and the NW face of Penrose appears to have run near full path presumably during the warm rain event,None Reported,,48.402214,-114.13365,,,,,
331,Canyon Creek,Whitefish Range,,Snowmobiling/Snowbiking,,,,,,,,"Dec 16, 2023","Dec 16, 2023",Swan Mountain Snowmobiling,public,"Snow was soft, dry, and fluffy. Could not make snowballs either day Avalanche  chutes in second canyon have very little snow. Also  observed rollers.",None Reported,,48.402214,-114.13365,,,,,
332,Sixmile Subpeak,Swan Range,Flathead Avalanche Center,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",Above freezing,Not Observed,Not Observed,Small Amounts,None,Sun with building high stratus to the West.   Generally calm with SW gusts light to moderate.,"Dec 16, 2023 (9:00) - Dec 16, 2023 (18:00)","Dec 16, 2023",Rob Millspaugh,forecaster,"Went to check on the access and snowpack in the Swan Lake area:

Total snow depth was 1 foot or less up to 6000'
Above 6000' the snowpack doubled to 2 feet
We found the 12/7 crust burried 10-16 inches deep up to 6800' (our high point)
Dry powder snow was in limited supply on our southerly route
Current snow surfaces featured: a thin melt freeze crust, wet snow, and surface hoar (which was getting nuked in the sun)
We briefly dipped onto a North aspect at 6800' and found buried surface hoar which yeilded an unstable result in a large column test.

The descent was rough.
Media to follow",None Reported,No obvious signs of instability,48.402214,-114.13365,,,,,
333,Ghoulies,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Dec 16, 2023","Dec 16, 2023",,public,"Toured out to Ghoulies east of WMR. Dug a pit on a south facing aspect at 6500 ft. ECTX - No propagation in extended column test. CT 13, failed about 10 cm down, above the crust from 12/10.Sun crust was present in open south facing areas, shaded areas still had soft snow.",None Reported,,48.402214,-114.13365,,,,,
334,Mt. Furlong,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Dec 16, 2023","Dec 16, 2023",David Steele,public,Real nice conditions for late October. Weather was clear with moderate to strong winds on the ridgetops. Not much cloud cover. Temps around freezing.,None Reported,,48.402214,-114.13365,Up the Edna Cr trail; skied the North and NW bowls. Descended trail.,,,,
335,Stanton Creek,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Dec 16, 2023","Dec 17, 2023",,public,"Skinned /hiked up the Great Northern summer trail on 10-20 cm of total snow until 6000 ft where  conditions improve dramatically. On the Spur ridge we saw surface hour on sheltered north slopes and a crispy rime layer below 10cm powder. First headwall on ridge to summit was a sketchy combo of no snow, ice on summer trail and wind blasted spines so we quickly abandoned summit ideas. Also super windy on the ridge at 20-40mph. Opted to ski a SE line into Stanton Ck drainage to look around. Some decent redistributed powder on suncrust around 7000 ft, rock hard wind slab mid line and 10 cm soft snow with small surface hoar below 6000 ft in runout. Snowed over debris piles below NE ramps and chutes indicated a decent avalanche cycle during the 12/7 crust event. That observation, combined with no cornice development, gave us a green light to climb and ski a steep NE line below the summit bridge. High point of 7300 ft. Hasty pits showed 20-50 cm snow above 12/7 crust and in one spot around 6500 ft a noticeable decomposing facet layer below the 12/7 crust. Surface snow had a couple thin rime layers in it and lots of wind effect. Also some near surface small facet layers being buried by wind distributed snow. Fun skiing with some soft snow redistributed above the wind effect. Incredibly low snowpack for the location. Lots of hiking on the return to trailhead.",None Reported,,48.402214,-114.13365,,,,,
336,Uniwah,Flathead Range & Glacier NP,,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",Below freezing,Not Observed,Not Observed,Small Amounts,Light,Clear skies from the Lake to the summit and across to the Park.Light winds above 6500',"Dec 16, 2023","Dec 16, 2023",,public,No signs of any avalanches in any of the big steep terrain in the area,None Reported,Low snow conditions <br>,48.402214,-114.13365,Sw face Uniwah,,,,
337,Challenge cabin,Flathead Range & Glacier NP,,Skiing/Snowboarding,Clear (No clouds),27,Hahahaha,Not Observed,Not Observed,Not Observed,Clear and mostly calm with ridge top gusts,"Dec 16, 2023","Dec 17, 2023",,public,Old avalanche activity,None Reported,"Old loose slab avalanche, that was began as a single point release",48.402214,-114.13365,,NESWNWNESESW,Not Observed,Unknown,Not Observed
338,Swan Range,Swan Range,,Skiing/Snowboarding,"Scattered (Partly Cloudy, 3/8 to 4/8 covered)",30,Not Observed,Not Observed,Not Observed,Not Observed,,"Dec 15, 2023","Dec 15, 2023",Al Goretex,public,Lots of old rollerballs/ pinwheels on W and S aspects.  Creek is “skiiable” but still open.    Need a lot more snow to improve conditions..,None Reported,Small glide cracks spotted,48.402214,-114.13365,"Up the road, up the creek, then back down",,,,
339,Mount Brown,Flathead Range & Glacier NP,Flathead Nordic Backcountry Patrol,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)",Not Observed,1,Not Observed,Small Amounts,None,Inversions Sandwich most of the day. Mostly calm with light/moderate winds out of the south near ridgetop. Cool temps up high all day. Air temp felt slightly above freezing at Snyder Lake in the late afternoon sunshine.,"Dec 15, 2023","Dec 16, 2023",Jackson George,public,"Traveled into upper elevations of Glacier Park to help reduce uncertainties with the snowpack structure above 7500'.• The 12/7 rain crust is present up to 8100' in this area. • Average HS at upper elevations was about 90-110cm. Our highest observation from a previously loaded east facing slope held 120-170cm snowpack.• Aside from several wet slides from Wednesday, we observed no signs of instability, while traveling uphill or downhill today. • We descended a steep east facing chute into the south facing bowl of Mount Brown.• Despite seeing sunshine off in the distance in other parts of the advisory area, we spent most of the day in an inversion sandwich. The lower level stratus deck holding firm around 4500-5000', and the upper level cloud deck perched itself at about 8000' sometimes fluctuating upward a bit.• Around 2:00pm the upper level deck began to break down a bit, revealing sunshine and unobstructed views of the higher peaks in the area• We found the riding quality to be so so. But we knew what we signed up for.• We were able to successfully travel downhill on skis to about 4500'.  Off trail ski travel below 5500' remains not recommended.",Avalanches Observed,Numerous recent wet loose avalanches observed across the Upper Snyder Headwall between Mount Brown and the Little Matterhorn. And one D2 wet loose observed in the exit gully from Mount Brown to Snyder Lake. (possibly skier triggered from Wednesday?),48.402214,-114.13365,Lake McDonald to Mount Brown Lookout. And beyond up the SW ridge to about 8100'. Descended to Snyder Lake.,,,,
340,Canyon Creek,Whitefish Range,Swan Mountain Snowmobiling,Snowmobiling/Snowbiking,"Overcast (Cloudy, 8/8 covered)",Not Observed,0,Not Observed,Not Observed,None,,"Dec 15, 2023","Dec 16, 2023",Swan Mountain Snowmobile,professional,Low coverage at lower elevations,None Reported,,48.402214,-114.13365,,,,,
