,location,Occurrence Time,Zone / Region,Observer Affiliation,Observation Date,Associated Observation,# Avalanches:,Aspect:,Aspect Range:,Elevation:,Destructive Size:,Type:,Problem Type:,Trigger:,Occurrence Date,Observer Name,Observer type,Latitude,Longitude,Avalanche Summary,Bed Surface:,Weak Layer Grain Type:,Slope Angle:,Vertical Fall:,Relative Size:,Width:,Terminus:,Weak Layer Burial Date:,Slab Thickness:,Caught/Carried:,Partly Buried-Not Critical:,Injured:
175,Snowslip Mtn - above Shields Ck,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 12, 2024",View Observation,1,E,,6800 ft,D2,SS-Soft Slab,Wind Slab,N-Natural,"Jan 11, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,"Couldn't get a good view, but might be the largest crown I saw today? D2 at least. Could not clearly view the entire runout or get a good pic. Slab dimensions estimated.",,,,,R3,400 ft,,,100 cm (3.5 ft),,,
176,Java Gauntlet Path near Java Creek,06:00 (Estimated),Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 11, 2024",View Observation,1,NE,,4100 ft,D1.5,SS-Soft Slab,Wind Slab,N-Natural,"Jan 11, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,Obs from Hwy around 1430. Some new snow on the crown makes me think it ran earlier this morning or last night. I did not see it yesterday. No debris on rail and did not trigger the slide fence. Sorry no pic,O-Old Snow,,45°,100 ft,R2,100 ft,U - Unknown,,20 cm (0.5 ft),,,
177,Large river cutbank above the Middle Fork,06:00 (Estimated),Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 11, 2024",View Observation,1,NE,,3800 ft,D1.5,SS-Soft Slab,,N-Natural,"Jan 11, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,Obs from Hwy around 1430. Some new snow on crown makes me believe it ran earlier in the morning or last night. I did not see it yesterday.,O-Old Snow,,45°,,R2,300 ft,,,20 cm (0.5 ft),,,
178,Running Rabbit Mtn - Upper Shed 10,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 12, 2024",View Observation,5,E,,7300 ft,D2,SS-Soft Slab,Wind Slab,N-Natural,"Jan 11, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,"Could not see runout. Multiple shallower crowns on this face just under the ridge crest. Again, most D1-1.5s maybe one nearing D2?",I-New/Old Interface,,40°,,R1,,TP - Top of Path,,,,,
179,Running Rabbit Mtn - Path 1163,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 12, 2024",View Observation,6,SE,,6500 ft,D1.5,SS-Soft Slab,Wind Slab,N-Natural,"Jan 11, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,"Multiple crowns between 6000-7200' that were concentrated more on the west side of the path. Most were D1-1.5, but a couple probably nearing D2",I-New/Old Interface,,40°,1000 ft,R1,,MP - Middle of Path,,,,,
180,Snowslip Mtn - Shed 9,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 12, 2024",View Observation,1,E,,6500 ft,D2,SS-Soft Slab,Wind Slab,N-Natural,"Jan 11, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,A thicker slab and larger avalanche than those in Path 1163 and Shed 10. Unfortunately vis very limited from the Hwy. Could not determine runout. Crown dimensions estimated,I-New/Old Interface,,,,R1,300 ft,MP - Middle of Path,,120 cm (4 ft),,,
181,Nyack,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Jan 15, 2024",View Observation,1,E,,6800 ft,D2,HS-Hard Slab,Wind Slab,N-Natural,"Jan 11, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Unknown date. Plus or minus a day. Assuming it was a hard wind slab. The avalanche did not propagate wide. ,U-Unknown,,,,,,,,,,,
182,Cameahwait,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Jan 15, 2024",View Observation,1,SE,E,7500 ft,D2,HS-Hard Slab,Wind Slab,N-Natural,"Jan 11, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Unknown date. Plus or minus a day. Assuming a hard Wind Slab due to its location and crown width. ,,,,,,,,,,,,
183,Marias Pass,Not Reported,Other,Flathead Avalanche Center,"Jan 15, 2024",View Observation,1,E,,6600 ft,D2,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 11, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Unknown date. Plus or minus a day. Possibly a persistent slab. Crown propagated a relatively wide distance and wrapped around terrain features. ,,,,,,,,,,,,
184,Mt. Grant,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Jan 18, 2024",View Observation,1,NE,,7300 ft,D3,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 11, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,We observed rows of crowns down the main path of Grant. We assume these went during the pre-arctic storm due to the amount of snow on them. They appeared older than all the other avalanche activity we observed. ,,,,,,,,,,,,
185,Sixmile Subpeak,14:30 (Exact),Swan Range,Flathead Avalanche Center,"Jan 10, 2024",View Observation,1,NE,"N, NE",6800 ft,D1,HS-Hard Slab,Wind Slab,AC-Human-caused cornice fallc-Intentional,"Jan 10, 2024 (Exact)",Rob Millspaugh,forecaster,48.402214,-114.13365,Stomped on a tiny cornice which pulled out a small wind slab.,I-New/Old Interface,,35°,50 ft,R1,15 ft,MP - Middle of Path,,25 cm (1 ft),,,
186,Sixmile Subpeak,14:30 (Exact),Swan Range,Flathead Avalanche Center,"Jan 10, 2024",,1,NE,"N, NE",6800 ft,D1,HS-Hard Slab,Wind Slab,AC-Human-caused cornice fallc-Intentional,"Jan 10, 2024 (Exact)",Rob Millspaugh,forecaster,48.402214,-114.13365,Stomped on a tiny cornice which pulled out a small wind slab.,I-New/Old Interface,,35°,50 ft,R1,15 ft,MP - Middle of Path,,25 cm (1 ft),,,
187,Snowlip Mtn Shed 6 avalanche path,06:00 (Estimated),Flathead Range & Glacier NP,BNSF Avalanche Safety,"Jan 10, 2024",View Observation,1,E,,4600 ft,D1.5,SS-Soft Slab,Persistent Slab,N-Natural,"Jan 10, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,Observed around daybreak from Hwy. Investigated the crown around 1600 today,G-Ground,DH-Depth Hoar,45°,100 ft,R1,75 ft,BP - Bottom of Path,,25 cm (1 ft),,,
188,Small cut bank just east of Marias Pass along Hwy 2,06:00 (Estimated),Other,BNSF Avalanche Safety,"Jan 10, 2024",View Observation,1,N,,5200 ft,D1,SS-Soft Slab,,U-Unknown,"Jan 10, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,Observed from Hwy around 0900. May have been triggered by plow debris?,G-Ground,,45°,50 ft,R1,40 ft,,,30 cm (1 ft),,,
189,Ghoulies Ridge,Not Reported,Whitefish Range,Flathead Avalanche Center,"Jan 10, 2024",View Observation,1,E,,6450 ft,D2,SS-Soft Slab,Persistent Slab,U-Unknown,"Jan 10, 2024 (Estimated)",blase reardon,public,48.402214,-114.13365,"Crown and debris noted from uptrack to Ghoulie Point. Tracks to skier's left (North) so unclear if triggered or natural. Given location on typical lee side of ridge, slab may have been comprised of wind-stiffened and wind-thickened snow. ",O-Old Snow,FC-Faceted Crystals,,150 ft,R4,150 ft,U - Unknown,,80 cm (2.5 ft),,,
190,Beta Lakes Road,Not Reported,Swan Range,Flathead Avalanche Center,"Jan 10, 2024",View Observation,3,SE,"SE, E",5000 ft,D1,SS-Soft Slab,,N-Natural,"Jan 9, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,Several small soft slabs on cutbanks above Beta Lakes road. ,O-Old Snow,,,10 ft,R2,40 ft,,,20 cm (0.5 ft),,,
191,Lost Johnny,Not Reported,Swan Range,Flathead Avalanche Center,"Jan 8, 2024",View Observation,1,SE,,6300 ft,D1,SS-Soft Slab,Storm Slab,AS-Skieru-Unintentional,"Jan 8, 2024 (Exact)",Cam Johnson,forecaster,48.402214,-114.13365,,I-New/Old Interface,FC-Faceted Crystals,38°,30 ft,R3,90 ft,,,60 cm (2 ft),,,
192,Mt. Barnaby,11:45 (Exact),Whitefish Range,Flathead Avalanche Center,"Jan 7, 2024",View Observation,1,SE,"E, SE, S",6000 ft,D1.5,L-Dry Loose,Dry Loose,N-Natural,"Jan 7, 2024 (Exact)",blase reardon,forecaster,48.402214,-114.13365,Watched a natural sluff pour off cliffs onto apron below. Did not trigger a slab.,S-New Snow,,,200 ft,R2,,,,,,,
193,Mt. Barnaby,Not Reported,Whitefish Range,Flathead Avalanche Center,"Jan 7, 2024",View Observation,1,E,NE,6500 ft,D2,SS-Soft Slab,Storm Slab,N-Natural,"Jan 7, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,Soft slab of new and recent snow that wrapped around the base of a rock buttress. Probably triggered by sluff from above. ,,,,125 ft,R2,,BP - Bottom of Path,,,,,
194,Lost Johnny,Not Reported,Swan Range,Flathead Avalanche Center,"Jan 8, 2024",View Observation,1,E,,7000 ft,D2,SS-Soft Slab,Wind Slab,N-Natural,"Jan 7, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Plus or minus a day with occurrence date. Assuming it was a wind slab due to its location being directly beneath a cornice.,U-Unknown,,40°,,R2,,,,,,,
195,6 Mile,Not Reported,Swan Range,Flathead Avalanche Center,"Jan 7, 2024",View Observation,3,SW,"N, NE, E, SE, S, SW, W, NW",6200 ft,D1.5,SS-Soft Slab,Storm Slab,AM-Snowmobileu-Unintentional,"Jan 7, 2024 (Estimated)",guy zoellner,forecaster,48.402214,-114.13365,,I-New/Old Interface,MF-Melt Forms,,,R1,35 ft,,"Jan 22, 2024",30 cm (1 ft),,,
196,Mt. Barnaby,02:00 (Estimated),Whitefish Range,Flathead Avalanche Center,"Jan 7, 2024",View Observation,1,N,,6675 ft,D2,HS-Hard Slab,,N-Natural,"Jan 7, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,"Large hard slab composed mostly of accumulated sluff debris from slopes above.  Looked to be triggered by sluff from above. Slab ranged from 60-110 cm thick at crown face. Failed about 20 cm above most recent MFcr. Weak layer not distinct - perhaps small facets buried 1/31 (just under thin, almost indistinguishable rime crust). 7-10 cm of fresh snow on debris. Guestimating time as early AM on 1/7 based on snowfall at Stahl Peak SNOTEL ~ 1 mi away. ",O-Old Snow,,,150 ft,R2,100 ft,BP - Bottom of Path,"Dec 31, 2023",85 cm (3 ft),,,
197,Gibralter Ridge,Not Reported,Whitefish Range,Flathead Avalanche Center,"Jan 7, 2024",View Observation,1,W,,6250 ft,D2,HS-Hard Slab,,N-Natural,"Jan 7, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,Crown and debris from large hard slab visible on apron below steep slopes. Guessing this slab occurred about the same time as one on Barnaby and involved slab composed of sluff debris. ,O-Old Snow,,,150 ft,R2,88 ft,BP - Bottom of Path,,70 cm (2.5 ft),,,
198,Skook Chutes,Not Reported,Whitefish Range,Flathead Avalanche Center,"Jan 8, 2024",View Observation,1,SW,"W, SW, S",6200 ft,D2,SS-Soft Slab,Storm Slab,N-Natural,"Jan 6, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,"Wide but shallow crown visible from canyon floor. Bed surface covered with 15-20 cm recent snow. Estimating it ran during period of high snowfall intensity on Jan. 6. Weak layer not readily apparent in profile at one part of crown. Suspect mid-storm density change. Crown wrapped all the way across the bowl, including in very steep rocks above main face. Debris piles 3-6 feet deep on uphill sides of trees below. Did not hit Canyon Creek trail.  Crown deepesst on northern flank, near bottom. ",I-New/Old Interface,,42°,275 ft,R2,350 ft,BP - Bottom of Path,,25 cm (1 ft),,,
199,Skook skin track,Not Reported,Whitefish Range,Flathead Avalanche Center,"Jan 8, 2024",View Observation,2,SW,W,5900 ft,D1.5,SS-Soft Slab,Storm Slab,N-Natural,"Jan 6, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,Shallow crown(s) visible at convexity above skin track leading from notch to Skook. Also multiple debris piles. Fresh snow on both crowns and debris piles. Suspect soft slab failing mid storm during period of high snowfall intensity on 1/6. Debris partially covered roadbed where uptrack traverses out of the notch in piles 4-5 feet deep. ,,,41°,50 ft,R2,100 ft,,,,,,
200,Sixmile,Not Reported,Swan Range,Flathead Avalanche Center,"Jan 10, 2024",View Observation,1,E,,6200 ft,D1,HS-Hard Slab,Wind Slab,NC-Cornice Fall,"Jan 6, 2024 (Estimated)",Rob Millspaugh,forecaster,48.402214,-114.13365,,O-Old Snow,,35°,60 ft,R2,50 ft,BP - Bottom of Path,,40 cm (1.5 ft),,,
201,SW face of GN,16:00 (Estimated),Flathead Range & Glacier NP,,"Jan 3, 2024",View Observation,6,SW,,7000 ft,D1.5,WL-Wet Loose,Wet Loose,N-Natural,"Jan 2, 2024 (Exact)",Jeff Metsky,public,48.402214,-114.13365,PM warming on SW faces triggered these slides on areas near rock bands.,I-New/Old Interface,,35°,300 ft,R1,,BP - Bottom of Path,,,,,
202,Great Northern,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Dec 30, 2023",View Observation,1,W,,7500 ft,D1.5,WL-Wet Loose,Wet Loose,AS-Skier,"Dec 30, 2023 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,,,,,,,,,,,,,
203,Jewel Basin,Not Reported,Swan Range,Flathead Avalanche Center,"Dec 25, 2023",View Observation,4,E,"NE, E, SE",6850 ft,D1.5,L-Dry Loose,Dry Loose,AS-Skier,"Dec 25, 2023 (Exact)",emily carino,public,48.402214,-114.13365,"Kicked off some sizeable sluff on a previously non-skied slope, and some more sluff skiing it a 2nd time. No sluff on run 3. No sluff on previously skied slopes.",S-New Snow,,,100 ft,R1,,,,,,,
204,10 lakes,13:30 (Exact),Whitefish Range,Flathead Avalanche Center,"Dec 24, 2023",View Observation,1,N,,6975 ft,D1,L-Dry Loose,Dry Loose,AS-Skierc-Intentional,"Dec 24, 2023 (Exact)",blase reardon,forecaster,48.402214,-114.13365,"Triggered D1 sluff while descendng steep, northerly slope. Good runout so not conesequential.",I-New/Old Interface,DF-Decomposing and Fragmented Particles,40°,150 ft,R1,,MP - Middle of Path,"Dec 22, 2023",,,,
205,Diorite Sill,15:00 (Estimated),Other,,"Dec 27, 2023",View Observation,3,SE,,8300 ft,D1,HS-Hard Slab,Wind Slab,N-Natural,"Dec 24, 2023 (Estimated)",Jeff Metsky,public,48.402214,-114.13365,,I-New/Old Interface,DF-Decomposing and Fragmented Particles,40°,25 ft,R1,10 ft,BP - Bottom of Path,,12 cm (0.5 ft),,,
206,10 lakes,Not Reported,Whitefish Range,Flathead Avalanche Center,"Dec 24, 2023",View Observation,12,NE,"E, NE, N",6800 ft,D1.5,L-Dry Loose,Dry Loose,N-Natural,"Dec 23, 2023 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,Numerous natural loose snow avalanches below cliffs. Probably ran during or shortly after snow fall ended. Perhaps with gusty winds that followed. Not obscured buy new snow. ,,,,150 ft,R2,,,,,,,
207,Mt. Brown NW face gullies,15:00 (Exact),Flathead Range & Glacier NP,Flathead Avalanche Center,"Dec 23, 2023",View Observation,1,NW,"W, NW, N",6900 ft,D2.5,U-Unknown,,N-Natural,"Dec 23, 2023 (Exact)",blase reardon,forecaster,48.402214,-114.13365,"Six natural avalanches observed in relatively short time, with largest overrunning and injuring one member of a climbing team. Probably dry loose slides, though party was well below release area. Elevation, aspect, vertical fall estimated from reports. Map location marks where party was caught, not start of slides. ",,,,2000 ft,,,MP - Middle of Path,,,,,
208,Mt. Brown NW face gullies,15:15 (Estimated),Flathead Range & Glacier NP,Flathead Avalanche Center,"Dec 23, 2023",View Observation,5,NW,"W, NW, N",6900 ft,D2,U-Unknown,,N-Natural,"Dec 23, 2023 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,"Six natural avalanches observed in relatively short time, with largest overrunning and injuring one member of a climbing team. Probably dry loose slides, though party was well below release area. Elevation, aspect, vertical fall estimated from reports. Map location marks where party was caught, not start of slides. The 5 smaller slides may not have involved that much snow, but the confined, very steep terrain channeled the debris and they likely packed the destructive force of D2 slides. ",,,,2000 ft,,,MP - Middle of Path,,,,,
209,Upper Paola,Not Reported,Flathead Range & Glacier NP,,"Dec 29, 2023",View Observation,1,NE,,7200 ft,D2,,,N-Natural,"Dec 23, 2023 (Estimated)",,public,48.402214,-114.13365,"Observed one crown from last Saturdays ""sneaker-storm"" in the alpine terrain of Paola Creek at 7200' on a NE aspect. On 12/23 Tunnel Ridge Snow recorded 11"" of snow (one 3""/hour rate). Given the partially filled in crown I would estimate the release to have occurred during this storm. ",,,,,,,,,,,,
210,Barnaby Peak,Not Reported,Whitefish Range,Flathead Avalanche Center,"Dec 23, 2023",View Observation,1,NE,,6300 ft,D1,SS-Soft Slab,,N-Natural,"Dec 22, 2023 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,,,,,,R1,,,,,,,
211,Skook Chutes,Not Reported,Whitefish Range,Flathead Avalanche Center,"Dec 22, 2023",View Observation,1,SW,"SW, S",6000 ft,D1.5,WL-Wet Loose,Wet Loose,N-Natural,"Dec 20, 2023 (Estimated)",Mark Dundas,forecaster,48.402214,-114.13365,,O-Old Snow,,38°,200 ft,R1,20 ft,,,,,,
212,Skook Chutes,Not Reported,Whitefish Range,Flathead Avalanche Center,"Dec 22, 2023",View Observation,1,SW,"SW, S",6250 ft,D1.5,WL-Wet Loose,Wet Loose,N-Natural,"Dec 20, 2023 (Estimated)",Mark Dundas,forecaster,48.402214,-114.13365,,G-Ground,,38°,400 ft,R1,20 ft,MP - Middle of Path,,,,,
213,WMR ski area,Not Reported,Whitefish Range,WMR ski patrol,"Dec 15, 2023",,3,S,"SE, SW",6200 ft,D1,WL-Wet Loose,,N-Natural,"Dec 15, 2023 (Exact)",WMR Patrol,professional,48.402214,-114.13365,,,,,,R1,,,,,,,
214,Crown Bowl,04:15 (Exact),Swan Range,,"Dec 14, 2023",View Observation,1,NW,,6800 ft,D1,HS-Hard Slab,Wind Slab,AS-Skieru-Unintentional,"Dec 14, 2023 (Exact)",,public,48.402214,-114.13365,"D1 Wind Slab Avalanche was triggered by the second skier on the slope. Slope was a steep NW aspect on skier's left just shy of the top of Crown Bowl. The Wind Slab was not present at top of the line but was present about half way down (approx 6700-6800'). Crown depth estimated 6-12"". Propagated 20-30 feet wide and a foot or two above Skier 2. While we didn't have time to assess the crown(avalanche happened at 4:15pm), we assume it was a hard wind slab on lower density snow but not on any persistent weak layer. We believe this gully to have been cross-loaded by the wind. Skier 2 was carried 5 feet, skied left and came to rest as the avalanche washed over the skier's legs and down slope. Skier 2's final position was about 20' below the crown. Snow covered to the top of the boots of skier 2 who was able to self extricate and ski the remainder of the slope.",,,,,R1,20 ft,,,20 cm (0.5 ft),,,
215,Skook,Not Reported,Whitefish Range,WMR Patrol,"Dec 13, 2023",,1,SW,"S, W, SW",6000 ft,D1.5,L-Dry Loose,,N-Natural,"Dec 13, 2023 (Exact)",Jamie Burkholder,professional,48.402214,-114.13365,Small loose snow avalanche visible in the Skook Chutes 1/13. Noted by WMR patrol ,O-Old Snow,,,,,,,,,,,
216,Upper Snyder Creek,Not Reported,Flathead Range & Glacier NP,Flathead Nordic Backcountry Patrol,"Dec 15, 2023",View Observation,1,SE,,6500 ft,D2.5,WL-Wet Loose,Wet Loose,U-Unknown,"Dec 13, 2023 (Estimated)",Jackson George,public,48.402214,-114.13365,"Two old skier tracks lead directly to the top of this avalanche. The upper portion of the slide looked like it may have began as a slab avalanche, with a few large broken pockets rather than one distinct crown line (regrettably did not take photos of the start zone). It quickly turned into a loose wet slide removing all of the recent snow since Dec 7th and gliding on a stout raincrust. This is also the only exit gully for this run, so it may just be a coincidence that the ski tracks lead directly to a fractured pocket. There is a large wall with many hanging ice features directly above this gully as well, so a natural trigger would not be surprising here. Pretty confident that this occurred some time Wednesday.",O-Old Snow,MF-Melt Forms,40°,900 ft,R4,100 ft,MP - Middle of Path,"Dec 7, 2023",40 cm (1.5 ft),,,
217,Flathead Range,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Dec 13, 2023",View Observation,3,SE,"W, S, SE",7000 ft,D1,L-Dry Loose,Dry Loose,N-Natural,"Dec 11, 2023 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Saw a few loose dry sluffs that I am guessing occurred in the last couple days. ,,,,,,,,,,,,
218,east of WMR,Not Reported,Whitefish Range,Flathead Avalanche Center,"Dec 6, 2023",View Observation,8,SW,"W, SW, S, SE",6000 ft,D1.5,WL-Wet Loose,,N-Natural,"Dec 5, 2023 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,"Debris from several wet snow slides visible in the Skook Chutes, possibly Half Moon and Big Slide",O-Old Snow,,,300 ft,,,,,,,,
219,Crown Bowl,Not Reported,Swan Range,Flathead Avalanche Center,"Dec 7, 2023",View Observation,1,NW,,6900 ft,D1.5,U-Unknown,,U-Unknown,"Dec 5, 2023 (Estimated)",Rob Millspaugh,forecaster,48.402214,-114.13365,Wet debris in the bottom of Crown Bowl.  Could not see much of the track or start zone with poor visibility.  Uncertain if this initiated as point release or slab. Elevation of origin and vertical fall are estimated guesses.,,,45°,400 ft,R2,,BP - Bottom of Path,,,,,
220,6437,Not Reported,Swan Range,Flathead Avalanche Center,"Dec 7, 2023",View Observation,1,NE,,6200 ft,D1,U-Unknown,,N-Natural,"Dec 5, 2023 (Estimated)",Rob Millspaugh,forecaster,48.402214,-114.13365,Narrow and thin track leaving exposed rock.  Could not see origin or debris pile. Wet Loose or Wet Slab.,,,38°,500 ft,R1,,,,,,,
221,Liebig,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Dec 18, 2023",View Observation,2,E,"NE, E",7800 ft,D2,U-Unknown,,N-Natural,"Dec 5, 2023 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Observed two large debris piles off the crest of the Flathead. These appeared old. I suspect these failed during the warm atmospheric river in early December. ,U-Unknown,,,,R2,,,,,,,
222,Mt Penrose,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Dec 24, 2023",View Observation,2,N,"N, NE",7000 ft,D2.5,U-Unknown,,N-Natural,"Dec 5, 2023 (Estimated)",Mark Dundas,forecaster,48.402214,-114.13365,"These avalanches occurred around 18-19 days ago and are adjacent to each other. The starting zone has been filled in with snow and wind-blown snow, and no crown line was visible. The debris was wet and likely triggered by rain, but it is impossible to tell if the slide was a Persistent Slab. ",,,38°,1500 ft,R2,,MP - Middle of Path,,,,,
223,WMR,Not Reported,Whitefish Range,Flathead Avalanche Center,"Dec 3, 2023",View Observation,5,NE,"E, N, S, W",6800 ft,D1,SS-Soft Slab,Storm Slab,N-Natural,"Dec 3, 2023 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,,I-New/Old Interface,,35°,,,,,,,,,
224,Southern Whitefish Range,Not Reported,Whitefish Range,Flathead Avalanche Center,"Dec 2, 2023",View Observation,3,NE,"N, E",6500 ft,D1.5,,,AS-Skierc-Intentional,"Dec 2, 2023 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,,,,,,,,,,,,,
225,Noisy,Not Reported,Swan Range,Flathead Avalanche Center,"Dec 2, 2023",View Observation,3,NE,"E, N",6400 ft,D1,SS-Soft Slab,Storm Slab,U-Unknown,"Dec 2, 2023 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,,,,,,,,,,,,,
226,WMR,Not Reported,Whitefish Range,Flathead Avalanche Center,"Dec 2, 2023",View Observation,1,SW,,6400 ft,D1.5,SS-Soft Slab,Storm Slab,AS-Skier,"Dec 2, 2023 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,,,,,,,,,,,,,
227,Fault 1,14:00 (Exact),Whitefish Range,WMR Patrol,"Dec 2, 2023",View Observation,,,,,,,,,"Dec 2, 2023 (Estimated)",,professional,48.402214,-114.13365,SS-ASr-R3-D2-S,,,,,,,,,,,,
228,McDonald Valley,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Nov 18, 2023",View Observation,2,S,,7000 ft,D1,L-Dry Loose,,N-Natural,"Nov 18, 2023 (Exact)",,public,48.402214,-114.13365,two natural point releases in the new snow that ran 800’.,,,,800 ft,,,,,,,,
229,Great Northern,14:00 (Estimated),Flathead Range & Glacier NP,,"Nov 18, 2023",View Observation,2,SW,,8000 ft,D1.5,,,N-Natural,"Nov 18, 2023 (Estimated)",,public,48.402214,-114.13365,Observed numerous wet loose slides that ran a long distance down solar faces on Great Northern. See photo. ,,,,,,,,,,,,
230,Noisy Basin,14:34 (Estimated),Swan Range,Flathead Avalanche Center,"Nov 17, 2023",View Observation,2,SW,,6500 ft,D1,WL-Wet Loose,Wet Loose,AS-Skierc-Intentional,"Nov 17, 2023 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Intentionally triggered two small wet loose avalanches. Both were harmless in size. These occurred on solar aspects in the afternoon. We observed natural roller balls prior to human triggers. ,S-New Snow,MF-Melt Forms,40°,30 ft,R1,10 ft,,,,,,
231,Great Northern Peak,Not Reported,Flathead Range & Glacier NP,,"Nov 17, 2023",View Observation,2,N,"NE, N",8500 ft,D1.5,SS-Soft Slab,,N-Natural,"Nov 15, 2023 (Estimated)",Adam Clark,professional,48.402214,-114.13365,"Observed a few old crowns (D1.5) on steep, unsupported northerly slopes between 6500-7500'. These crowns were about 10"" thick and likely failed during the storm on Wednesday.",,,,,,,,,25 cm (1 ft),,,
232,Mt. Brown,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Nov 28, 2023",View Observation,1,N,"NW, N",6500 ft,D2,,,N-Natural,"Nov 15, 2023 (Estimated)",Kevin Oberholser,public,48.402214,-114.13365,"North facing slope had released naturally, must have run about 1000+. Debris above waterfall @5000 ft.",,,,1200 ft,,,,,,,,
